CustomerId,CreditScore,Gender,Age,Balance,IsActiveMember,EstimatedSalary,Complain
15634602,619,0,42,0,1,101348.88,1
15647311,608,0,41,83807.86,1,112542.58,1
15619304,502,0,42,159660.8,0,113931.57,1
15701354,699,0,39,0,0,93826.63,0
15737888,850,0,43,125510.82,1,79084.1,0
15574012,645,1,44,113755.78,0,149756.71,1
15592531,822,1,50,0,1,10062.8,0
15656148,376,0,29,115046.74,0,119346.88,1
15792365,501,1,44,142051.07,1,74940.5,0
15592389,684,1,27,134603.88,1,71725.73,0
15767821,528,1,31,102016.72,0,80181.12,0
15737173,497,1,24,0,0,76390.01,0
15632264,476,0,34,0,0,26260.98,0
15691483,549,0,25,0,0,190857.79,0
15600882,635,0,35,0,1,65951.65,0
15643966,616,1,45,143129.41,1,64327.26,0
15737452,653,1,58,132602.88,0,5097.67,0
15788218,549,0,24,0,1,14406.41,0
15661507,587,1,45,0,0,158684.81,0
15568982,726,0,24,0,1,54724.03,0
15577657,732,1,41,0,1,170886.17,0
15597945,636,0,32,0,0,138555.46,0
15699309,510,0,38,0,0,118913.53,1
15725737,669,1,46,0,1,8487.75,0
15625047,846,0,38,0,1,187616.16,0
15738191,577,1,25,0,1,124508.29,0
15736816,756,1,36,136815.64,1,170041.95,0
15700772,571,1,44,0,0,38433.35,0
15728693,574,0,43,141349.43,1,100187.43,0
15656300,411,1,29,59697.17,1,53483.21,0
15589475,591,0,39,0,0,140469.38,1
15706552,533,1,36,85311.7,1,156731.91,0
15750181,553,1,41,110112.54,0,81898.81,0
15659428,520,0,42,0,1,34410.55,0
15732963,722,0,29,0,1,142033.07,0
15794171,475,0,45,134264.04,0,27822.99,1
15788448,490,1,31,145260.23,1,114066.77,0
15729599,804,1,33,76548.6,1,98453.45,0
15717426,850,1,36,0,1,40812.9,0
15585768,582,1,41,70349.48,1,178074.04,0
15619360,472,1,40,0,0,70154.22,0
15738148,465,0,51,122522.32,0,181297.65,1
15687946,556,0,61,117419.35,1,94153.83,0
15755196,834,0,49,131394.56,0,194365.76,1
15684171,660,0,61,155931.11,1,158338.39,0
15754849,776,0,32,109421.13,1,126517.46,0
15602280,829,0,27,112045.67,1,119708.21,1
15771573,637,0,39,137843.8,1,117622.8,1
15766205,550,1,38,103391.38,1,90878.13,0
15771873,776,0,37,103769.22,0,194099.12,0
15616550,698,1,44,116363.37,0,198059.16,0
15768193,585,1,36,146050.97,0,86424.57,0
15683553,788,0,33,0,0,116978.19,0
15702298,655,1,41,125561.97,0,164040.94,1
15569590,601,1,42,98495.72,0,40014.76,1
15760861,619,1,43,125211.92,1,113410.49,0
15630053,656,1,45,127864.4,0,87107.57,0
15647091,725,1,19,75888.2,0,45613.75,0
15623944,511,0,66,0,0,1643.11,1
15804771,614,1,51,40685.92,1,46775.28,0
15651280,742,1,35,136857,0,84509.57,0
15773469,687,0,27,152328.88,0,126494.82,0
15702014,555,1,33,56084.69,0,178798.13,0
15751208,684,1,56,78707.16,1,99398.36,0
15592461,603,1,26,109166.37,1,92840.67,0
15789484,751,0,36,169831.46,1,27758.36,1
15696061,581,0,34,101633.04,0,110431.51,1
15641582,735,1,43,123180.01,1,196673.28,1
15638424,661,0,35,150725.53,1,113656.85,1
15755648,675,0,21,98373.26,0,18203,0
15703793,738,1,58,133745.44,0,28373.86,1
15620344,813,1,29,0,0,33953.87,0
15812518,657,0,37,163607.18,1,44203.55,0
15779052,604,0,25,157780.84,1,58426.81,0
15770811,519,1,36,0,1,145562.4,0
15780961,735,0,21,178718.19,0,22388,0
15614049,664,1,55,0,1,139161.64,0
15662085,678,0,32,0,1,148210.64,0
15575185,757,1,33,77253.22,1,194239.63,0
15803136,416,0,41,122189.66,0,98301.61,0
15706021,665,0,34,96645.54,0,171413.66,0
15663706,777,0,32,0,0,136458.19,1
15641732,543,0,36,0,0,26019.59,0
15701164,506,0,34,90307.62,1,159235.29,0
15738751,493,0,46,0,0,1907.66,0
15805254,652,0,75,0,1,114675.75,0
15762418,750,1,22,121681.82,0,128643.35,1
15625759,729,1,30,0,0,151869.35,0
15622897,646,0,46,0,0,93251.42,1
15767954,635,0,28,81623.67,1,156791.36,0
15757535,647,0,44,0,1,174205.22,1
15731511,808,1,45,118626.55,0,147132.46,0
15809248,524,0,36,0,0,109614.57,0
15640635,769,1,29,0,1,172290.61,0
15676966,730,1,42,0,1,85982.47,0
15699461,515,1,35,176273.95,1,121277.78,0
15738721,773,1,41,102827.44,1,64595.25,0
15693683,814,1,29,97086.4,1,197276.13,0
15604348,710,1,22,0,0,99645.04,0
15633059,413,1,34,0,0,6534.18,0
15808582,665,0,40,0,1,161848.03,0
15743192,623,0,44,0,0,167162.43,0
15580146,738,1,31,82674.15,0,41970.72,0
15776605,528,1,36,0,0,60536.56,0
15804919,670,0,65,0,1,177655.68,1
15613854,622,0,46,107073.27,1,30984.59,1
15599195,582,1,32,88938.62,1,10054.53,0
15812878,785,0,36,99806.85,1,36976.52,0
15602312,605,1,33,150092.8,0,71862.79,0
15744689,479,1,35,92833.89,0,99449.86,1
15803526,685,1,30,90536.81,1,63082.88,0
15665790,538,1,39,108055.1,0,27231.26,0
15715951,562,1,42,100238.35,0,86797.41,0
15591100,675,1,36,106190.55,1,22994.32,0
15609618,721,1,28,154475.54,1,101300.94,1
15675522,628,0,30,132351.29,1,74169.13,0
15705512,668,0,37,167864.4,0,115638.29,0
15698028,506,0,41,0,0,31766.3,0
15661670,524,0,31,107818.63,0,199725.39,1
15600781,699,1,34,185173.81,0,120834.48,0
15682472,828,1,34,129433.34,0,38131.77,0
15580203,674,1,39,120193.42,0,100130.95,0
15690673,656,0,39,0,0,141069.88,0
15760085,684,0,48,126384.42,1,198129.36,0
15779659,625,0,28,0,0,183646.41,0
15627360,432,1,42,152603.45,0,110265.24,1
15671137,549,0,52,0,1,8636.05,1
15782688,625,1,56,148507.24,0,46824.08,1
15575492,828,0,41,0,0,171378.77,0
15591607,770,1,24,101827.07,0,167256.35,0
15740404,758,0,34,0,1,124226.16,0
15718369,795,0,33,130862.43,1,114935.21,0
15677871,687,1,38,122570.87,1,35608.88,0
15642004,686,1,25,0,1,16459.37,0
15712543,789,1,39,124828.46,1,124411.08,0
15584518,589,0,50,144895.05,1,34941.23,0
15802381,461,0,34,63663.93,1,167784.28,0
15610156,637,1,40,133463.1,1,93165.34,0
15594408,584,0,48,213146.2,0,75161.25,0
15640905,579,0,35,129490.36,1,8590.83,1
15698932,756,1,44,137452.09,0,189543.9,0
15724944,663,1,34,0,1,180427.24,0
15628145,682,0,43,125851.93,1,193318.33,0
15713483,793,1,52,0,0,159123.82,1
15612350,691,0,31,40915.55,0,126213.84,0
15800703,485,0,21,113157.22,1,54141.5,0
15705707,635,0,29,138296.94,0,141075.51,0
15754105,650,1,37,106967.18,0,24495.03,0
15703264,735,1,44,120681.63,0,74836.34,0
15794413,416,1,32,0,1,878.87,0
15650237,754,0,32,0,0,89520.75,0
15759618,535,0,48,0,0,149892.79,1
15811589,716,1,42,0,0,180800.42,0
15689044,539,1,37,127609.59,0,98646.22,0
15709368,614,0,43,0,1,109041.53,0
15679145,706,1,57,0,0,17941.16,1
15655007,758,0,33,0,0,82996.47,0
15623595,586,0,28,0,1,92067.35,0
15589975,646,0,73,97259.25,1,104719.66,0
15804017,631,0,33,123246.7,0,112687.57,0
15692132,717,0,22,101060.25,1,84699.56,0
15641122,684,1,30,0,0,83473.82,0
15630910,800,0,49,108007.36,0,47125.11,0
15680772,721,0,36,0,1,106977.8,0
15658929,683,1,29,133702.89,0,55582.54,1
15585388,660,1,31,125189.75,1,139874.43,0
15724623,704,0,24,113034.22,0,162503.48,1
15588537,615,0,41,109013.23,0,196499.96,0
15574692,667,0,39,0,0,40721.24,1
15611325,682,1,24,57929.81,0,53134.3,0
15587562,484,0,29,130114.39,0,164017.89,0
15613172,628,1,27,95826.49,0,155996.96,1
15651022,480,1,44,129608.57,0,5472.7,1
15586310,578,1,30,169462.09,0,112187.11,1
15625524,512,1,40,0,1,146457.83,0
15755209,484,0,35,133868.21,1,27286.1,0
15645248,510,0,30,0,1,130553.47,0
15790355,606,1,36,190479.48,0,179351.89,0
15762615,597,0,40,101993.12,1,94774.12,0
15625426,754,0,55,161608.81,0,8080.85,1
15716334,850,0,45,122311.21,1,19482.5,0
15789669,510,1,65,0,1,48071.61,0
15621075,778,0,45,162150.42,0,174531.27,0
15810845,636,1,42,0,1,55470.78,0
15719377,804,0,50,0,1,8546.87,1
15654506,514,1,32,0,0,95857.18,0
15771977,730,0,39,99010.67,0,194945.8,0
15708710,525,0,37,0,1,131521.72,0
15726676,616,1,30,0,1,196108.51,0
15587421,687,0,34,111388.18,0,148564.76,0
15726931,715,0,41,56214.85,0,92982.61,1
15771086,512,0,36,84327.77,0,17675.36,0
15756850,479,1,40,0,0,114996.43,0
15702741,601,1,32,93012.89,0,86957.42,0
15679200,580,1,29,61710.44,0,128077.8,0
15594815,807,1,35,174790.15,1,600.36,0
15635905,616,0,32,0,1,43001.46,0
15777892,721,1,37,107720.64,1,158591.12,0
15656176,501,1,57,0,1,47847.19,0
15811127,521,1,35,96423.84,0,10488.44,0
15604482,850,1,30,141040.01,1,5978.2,0
15622911,759,1,42,105420.18,1,121409.06,0
15600974,516,1,50,0,1,146145.93,1
15727868,711,0,38,129022.06,1,14374.86,1
15627801,512,1,33,176666.62,0,94670.77,0
15773039,550,1,37,0,1,179670.31,0
15755262,608,0,41,89763.84,0,199304.74,1
15679531,618,1,34,134954.53,1,151954.39,0
15684181,643,1,45,0,0,142513.5,1
15612087,671,1,45,106376.85,1,158264.62,0
15752047,689,1,33,161814.64,0,169381.9,0
15624592,603,1,31,0,1,169915.02,0
15573152,620,0,41,0,0,88852.47,0
15594917,676,0,34,63095.01,1,40645.81,0
15785542,572,1,26,118287.01,0,60427.3,0
15723488,668,1,47,106854.21,1,157959.02,1
15680920,695,1,46,49512.55,0,133007.34,0
15786308,730,0,33,0,0,176576.62,0
15659366,807,1,43,105799.32,0,34888.04,1
15774854,592,1,54,0,1,28737.71,1
15725311,726,0,31,114722.05,1,98178.57,0
15787155,514,1,30,0,1,125010.24,0
15727829,567,1,42,0,1,167984.61,0
15733247,850,1,33,0,0,4861.72,1
15568748,671,1,45,99564.22,1,108872.45,1
15699029,670,1,37,170557.91,0,198252.88,0
15774393,694,0,30,0,1,26960.31,0
15676895,547,0,39,74596.15,1,85746.52,1
15637753,751,1,50,96888.39,0,77206.25,1
15605461,594,0,29,130830.22,0,61048.53,0
15808473,673,1,72,0,1,111981.19,0
15627000,610,1,40,0,0,62232.6,0
15787174,512,0,37,0,1,156105.03,0
15723886,767,1,20,119714.25,1,150135.38,0
15704769,585,0,67,113978.97,1,93146.11,0
15772896,763,1,42,100160.75,0,33462.94,1
15711540,712,0,29,0,1,144375,0
15764866,539,0,43,116220.5,0,55803.96,1
15794056,668,0,46,0,0,89048.46,1
15795149,703,1,28,81173.83,1,162812.16,0
15812009,662,1,38,0,0,136259.65,0
15651001,725,0,39,116803.8,0,124052.97,0
15813844,703,1,37,105961.68,1,74158.8,0
15596175,659,1,67,117411.6,1,45071.09,1
15576269,523,1,34,0,0,62030.06,0
15797219,635,0,40,123497.58,0,131953.23,1
15685500,772,1,26,152400.51,0,79414,0
15599792,545,0,26,0,1,199638.56,0
15657566,634,1,24,103097.85,1,157577.29,0
15772423,739,1,54,126418.14,0,134420.75,1
15628112,771,0,36,77846.9,0,99805.99,0
15753754,587,0,34,0,1,97932.68,0
15793726,681,0,79,0,1,170968.99,0
15694717,544,1,37,79731.91,1,57558.95,0
15665834,696,1,28,0,0,176713.47,0
15765297,766,1,41,0,1,34283.23,0
15636684,727,1,34,0,1,198637.34,0
15592979,671,0,34,37266.67,0,156917.12,0
15750803,693,0,30,127992.25,1,50457.2,0
15607178,850,1,38,54901.01,1,140075.55,0
15713853,732,1,42,108748.08,1,65323.11,0
15673481,726,0,48,99906.19,0,64323.24,0
15686776,557,0,32,184686.41,0,14956.44,0
15673693,682,0,26,110654.02,1,111879.21,0
15700696,738,1,31,79019.8,1,18606.23,0
15813163,531,0,36,99240.51,0,123137.01,0
15653857,498,1,34,0,1,148528.24,0
15777076,651,1,36,0,0,13898.31,0
15717398,549,0,39,0,0,81259.25,1
15799217,791,0,35,52436.2,0,161051.75,0
15787071,650,1,41,0,1,191599.67,0
15619955,733,1,34,100337.96,0,48559.19,1
15796505,811,0,34,149297.19,1,186339.74,0
15725166,707,1,30,0,0,33159.37,0
15800116,712,1,28,145605.44,1,93883.53,0
15758685,706,0,37,0,1,110899.3,0
15694456,756,1,62,0,1,11199.04,1
15767339,777,0,53,0,0,189992.97,0
15683562,646,1,35,84026.86,1,164255.69,0
15782210,714,1,46,0,0,152167.79,1
15668893,782,1,39,0,1,33949.67,0
15669169,775,1,29,0,1,68143.93,0
15643024,479,1,35,138718.92,1,47251.79,1
15699389,807,1,42,118274.71,1,25885.72,0
15708608,799,0,22,174185.98,1,192633.85,0
15626144,675,1,40,113208.86,0,34577.36,0
15573112,602,1,29,103907.28,0,161229.84,0
15790678,475,0,32,119023.28,0,100816.29,0
15727556,744,0,26,166297.89,1,181694.44,0
15697307,588,1,34,0,0,79078.91,0
15652266,703,1,42,63227,1,137316.32,0
15607098,747,0,41,94521.17,0,194926.86,0
15655774,583,1,27,0,0,51285.49,0
15590241,750,0,34,112822.26,0,150401.53,1
15785819,681,1,38,0,1,112491.96,0
15723654,773,1,25,135903.33,0,73656.38,0
15774510,714,0,31,125169.26,1,106636.89,0
15684173,687,0,44,0,0,155853.52,1
15650068,511,1,58,149117.31,1,162599.51,0
15811490,627,1,33,0,1,103737.82,0
